machine_id,machine_name,location,running_hours,temperature,vibration,pressure,oil_level,error_code,last_maintenance
7,Molino de bolas,Sala 1A,946,101.6,0.4,83,76,NONE,2025-03-09
20,Compresor de aire,Sala 2B,313,87.0,0.9,229,74,NONE,2025-03-28
29,Torre de enfriamiento,Sala 3C,974,87.4,0.2,155,59,NONE,2025-01-30
15,Rectificadora,Sala 1A,104,111.0,0.2,146,96,NONE,2025-02-03
11,Grúa puente,Sala 1C,920,79.3,0.6,165,72,VIBRATION_ALERT,2025-02-16
8,Caldera industrial,Sala 2A,692,93.2,0.9,241,70,LOW_OIL,2025-07-05
29,Bomba centrífuga,Sala 1A,849,81.0,0.7,170,70,NONE,2025-06-17
21,Trituradora/molino,Sala 1A,827,81.0,0.2,184,92,OVERHEAT,2025-03-02
7,Sistema de filtración,Sala 3B,507,67.5,0.3,80,62,NONE,2025-02-23
26,Torre de enfriamiento,Sala 1B,927,73.9,0.8,151,86,VIBRATION_ALERT,2025-02-14
19,Dobladora de tubos y láminas,Sala 4C,211,71.1,0.3,166,82,NONE,2025-05-25
23,Caldera industrial,Sala 3B,429,93.9,0.7,245,73,OVERHEAT,2025-03-21
11,Prensa hidráulica,Sala 3A,136,100.6,0.8,85,93,LOW_OIL,2025-05-05
11,Trituradora/molino,Sala 4A,104,83.6,0.5,232,60,NONE,2025-06-28
24,Durómetro,Sala 4A,525,88.4,0.4,224,66,LOW_OIL,2025-01-28
21,Torno CNC,Sala 1B,849,82.7,0.5,140,53,NONE,2025-03-08
4,Inyectora de plástico,Sala 2C,227,72.8,0.3,91,96,NONE,2025-04-23
8,Tamizadora,Sala 2C,440,97.9,0.8,85,74,NONE,2025-01-31
24,Banda transportadora,Sala 1C,398,94.8,0.5,106,79,VIBRATION_ALERT,2025-05-21
3,Tamizadora,Sala 4B,57,56.6,0.8,215,58,LOW_OIL,2025-04-21
22,Horno industrial,Sala 1B,882,80.8,0.2,203,70,OVERHEAT,2025-02-19
21,Microscopio industrial,Sala 4C,362,71.8,0.9,185,69,OVERHEAT,2025-04-27
2,Compresor de aire,Sala 1A,808,79.1,0.5,172,68,NONE,2025-05-15
24,Montacargas,Sala 2C,884,74.9,0.1,188,68,VIBRATION_ALERT,2025-05-16
12,Sistema de filtración,Sala 4C,492,84.3,0.1,178,61,NONE,2025-05-09
30,Fresadora CNC,Sala 2B,816,80.1,0.7,247,86,NONE,2025-07-15
6,Fresadora CNC,Sala 4B,377,79.7,0.6,221,91,NONE,2025-02-26
2,Compresor de aire,Sala 3C,103,101.6,0.7,114,66,OVERHEAT,2025-04-06
28,Espectrómetro,Sala 1A,810,93.4,0.2,163,86,OVERHEAT,2025-02-19
21,Microscopio industrial,Sala 3A,288,74.4,0.1,135,97,NONE,2025-01-25
1,Caldera industrial,Sala 2B,278,76.7,0.5,220,88,NONE,2025-04-17
12,Torre de enfriamiento,Sala 2B,628,92.4,0.4,128,77,LOW_OIL,2025-01-26
26,Máquina de envasado,Sala 1B,100,92.4,0.5,125,90,NONE,2025-02-27
22,Ventilador industrial,Sala 4B,658,75.9,0.9,192,84,OVERHEAT,2025-01-22
29,Espectrómetro,Sala 1C,653,81.5,0.9,215,96,VIBRATION_ALERT,2025-02-21
12,Torre de enfriamiento,Sala 3A,313,112.7,0.9,122,97,NONE,2025-01-22
25,Torre de enfriamiento,Sala 2C,467,76.2,0.7,227,67,NONE,2025-03-29
17,Espectrómetro,Sala 4C,852,113.7,0.4,203,63,OVERHEAT,2025-02-08
27,Apiladora/recogedora automática,Sala 1B,145,101.6,0.4,176,84,LOW_OIL,2025-03-22
27,Durómetro,Sala 2C,137,110.9,0.5,169,93,NONE,2025-05-21
10,Molino de bolas,Sala 1B,127,75.6,0.8,118,90,VIBRATION_ALERT,2025-06-06
28,Cortadora láser/plasma,Sala 1B,337,82.5,0.2,164,56,NONE,2025-07-07
28,Montacargas,Sala 1B,169,78.3,0.4,141,90,NONE,2025-06-09
16,Espectrómetro,Sala 4B,863,101.9,0.2,185,62,OVERHEAT,2025-03-23
15,Extrusora,Sala 1C,540,76.5,0.5,186,67,LOW_OIL,2025-06-29
30,Sistema de filtración,Sala 1B,961,96.0,0.8,133,86,NONE,2025-02-03
30,Máquina de soldadura (MIG/TIG/Arco),Sala 2A,501,95.2,0.7,205,62,LOW_OIL,2025-03-10
15,Torno CNC,Sala 3C,549,84.3,0.3,88,85,NONE,2025-02-13
30,Inyectora de plástico,Sala 2C,214,104.5,0.9,167,80,NONE,2025-04-20
19,CMM (Máquina de medición por coordenadas),Sala 1A,231,86.6,0.6,116,51,NONE,2025-04-16
12,Sistema de filtración,Sala 3B,518,97.5,0.1,128,65,LOW_OIL,2025-07-06
23,Horno industrial,Sala 4C,959,77.6,0.3,120,58,NONE,2025-05-14
20,Horno industrial,Sala 3A,784,74.1,0.3,96,58,NONE,2025-06-12
25,Máquina de soldadura (MIG/TIG/Arco),Sala 4A,872,96.0,0.2,167,87,NONE,2025-01-23
3,Dobladora de tubos y láminas,Sala 1C,993,91.5,0.9,100,60,LOW_OIL,2025-05-14
5,Prensa hidráulica,Sala 1A,56,88.6,0.5,130,71,NONE,2025-06-13
19,Cortadora láser/plasma,Sala 2B,379,79.8,0.8,138,82,OVERHEAT,2025-06-23
7,Trituradora/molino,Sala 2A,824,108.2,0.4,246,85,NONE,2025-05-05
21,Durómetro,Sala 4A,722,68.3,0.2,120,94,NONE,2025-04-02
9,Máquina de envasado,Sala 3B,200,67.4,0.5,118,72,NONE,2025-02-01
7,Montacargas,Sala 1A,134,99.1,0.2,220,94,LOW_OIL,2025-06-06
18,Rectificadora,Sala 4A,196,97.9,0.5,90,94,VIBRATION_ALERT,2025-02-19
4,Compresor de aire,Sala 1A,673,90.3,0.8,226,83,NONE,2025-02-21
25,Inyectora de plástico,Sala 4C,430,80.7,0.5,218,58,NONE,2025-07-11
28,Durómetro,Sala 2A,964,92.5,0.6,156,73,NONE,2025-06-20
14,Banda transportadora,Sala 3B,597,110.8,0.2,206,57,NONE,2025-06-09
18,Trituradora/molino,Sala 2B,334,122.7,0.1,125,56,NONE,2025-02-11
26,Grúa puente,Sala 1B,749,60.2,0.2,124,85,NONE,2025-03-13
9,Sistema de filtración,Sala 2C,131,78.7,0.6,80,67,NONE,2025-04-26
26,Molino de bolas,Sala 2B,563,77.8,0.2,247,52,NONE,2025-03-25
21,Máquina de envasado,Sala 1B,946,109.4,0.4,187,77,NONE,2025-02-25
2,Microscopio industrial,Sala 4B,864,47.8,0.5,98,55,OVERHEAT,2025-01-26
20,Apiladora/recogedora automática,Sala 4B,758,92.7,0.4,155,93,NONE,2025-05-18
28,Bomba centrífuga,Sala 4B,965,81.1,0.2,151,93,NONE,2025-07-12
15,Microscopio industrial,Sala 1C,572,109.6,0.3,188,70,OVERHEAT,2025-06-04
28,Sistema de filtración,Sala 3C,795,107.5,0.8,91,77,NONE,2025-01-24
7,Torre de enfriamiento,Sala 3A,435,90.5,0.6,240,89,NONE,2025-02-14
12,Compresor de aire,Sala 3A,756,61.3,0.5,124,50,NONE,2025-04-22
29,Torre de enfriamiento,Sala 4B,520,76.4,0.1,169,85,NONE,2025-05-07
8,Máquina de soldadura (MIG/TIG/Arco),Sala 2C,168,78.0,0.9,182,70,NONE,2025-02-06
15,Torre de enfriamiento,Sala 3B,445,65.1,0.6,87,92,NONE,2025-01-21
