INSERT INTO machines (machine_id, name, location, last_maintenance, temperature, vibration, pressure, oil_level, error_code) VALUES
-- Machines with failure risk (3)
(1, 'CNC Lathe', 'Production Area A', '2023-05-15', 87, 0.9, 120, 42, 'NONE'),
(2, 'CNC Milling Machine', 'Production Area B', '2023-06-20', 82, 0.85, 110, 30, 'OVERHEAT'),
(3, 'Laser Cutter', 'Cutting Area', '2023-04-10', 90, 0.95, 95, 50, 'NONE'),

-- Machines without failure risk (27)
(4, 'Grinding Machine', 'Finishing Area', '2023-07-01', 75, 0.5, 80, 55, 'NONE'),
(5, 'Hydraulic Press', 'Forming Area', '2023-06-15', 70, 0.4, 200, 60, 'NONE'),
(6, 'Welding Machine', 'Assembly Area', '2023-07-10', 78, 0.6, 90, 58, 'NONE'),
(7, 'Bending Machine', 'Forming Area', '2023-05-30', 72, 0.45, 85, 62, 'NONE'),
(8, 'Injection Molding Machine', 'Plastics Area', '2023-06-25', 80, 0.55, 150, 65, 'NONE'),
(9, 'CNC Lathe', 'Production Area C', '2023-07-05', 74, 0.5, 115, 60, 'NONE'),
(10, 'CNC Milling Machine', 'Production Area D', '2023-06-18', 76, 0.6, 105, 58, 'NONE'),
(11, 'Grinding Machine', 'Finishing Area B', '2023-05-22', 71, 0.4, 82, 63, 'NONE'),
(12, 'Hydraulic Press', 'Forming Area B', '2023-06-28', 69, 0.35, 210, 67, 'NONE'),
(13, 'Welding Machine', 'Assembly Area B', '2023-07-12', 77, 0.55, 88, 59, 'NONE'),
(14, 'Laser Cutter', 'Cutting Area B', '2023-04-15', 73, 0.45, 92, 61, 'NONE'),
(15, 'Bending Machine', 'Forming Area C', '2023-05-25', 79, 0.65, 87, 64, 'NONE'),
(16, 'Injection Molding Machine', 'Plastics Area B', '2023-06-30', 81, 0.5, 145, 66, 'NONE'),
(17, 'CNC Lathe', 'Production Area E', '2023-07-08', 75, 0.55, 125, 57, 'NONE'),
(18, 'CNC Milling Machine', 'Production Area F', '2023-06-22', 73, 0.45, 108, 62, 'NONE'),
(19, 'Grinding Machine', 'Finishing Area C', '2023-05-18', 76, 0.5, 78, 60, 'NONE'),
(20, 'Hydraulic Press', 'Forming Area D', '2023-06-10', 68, 0.3, 195, 70, 'NONE'),
(21, 'Welding Machine', 'Assembly Area C', '2023-07-15', 74, 0.5, 92, 55, 'NONE'),
(22, 'Laser Cutter', 'Cutting Area C', '2023-04-20', 72, 0.4, 98, 63, 'NONE'),
(23, 'Bending Machine', 'Forming Area E', '2023-05-28', 77, 0.6, 83, 59, 'NONE'),
(24, 'Injection Molding Machine', 'Plastics Area C', '2023-06-05', 79, 0.45, 140, 68, 'NONE'),
(25, 'CNC Lathe', 'Production Area G', '2023-07-03', 76, 0.65, 118, 56, 'NONE'),
(26, 'CNC Milling Machine', 'Production Area H', '2023-06-12', 74, 0.55, 112, 61, 'NONE'),
(27, 'Grinding Machine', 'Finishing Area D', '2023-05-10', 70, 0.35, 85, 65, 'NONE'),
(28, 'Hydraulic Press', 'Forming Area F', '2023-06-08', 67, 0.25, 205, 72, 'NONE'),
(29, 'Welding Machine', 'Assembly Area D', '2023-07-18', 75, 0.45, 94, 54, 'NONE'),
(30, 'Laser Cutter', 'Cutting Area D', '2023-04-25', 71, 0.35, 96, 67, 'NONE');
